ID|name|name_lower|composer|milliseconds|bytes|unit_price|media_type_ID|genre_ID|album_ID
903|Lay Down Sally|lay down sally|Clapton/Levy|231732|7774207|0.99|1|6|72
904|Knockin On Heavens Door|knockin on heavens door|Clapton/Dylan|264411|8758819|0.99|1|6|72
905|Wonderful Tonight|wonderful tonight|Clapton|221387|7326923|0.99|1|6|72
906|Let It Grow|let it grow|Clapton|297064|9742568|0.99|1|6|72
907|Promises|promises|Clapton/F.eldman/Linn|180401|6006154|0.99|1|6|72
908|I Can't Stand It|i can't stand it|Clapton|249730|8271980|0.99|1|6|72
909|Signe|signe|Eric Clapton|193515|6475042|0.99|1|6|73
910|Before You Accuse Me|before you accuse me|Eugene McDaniel|224339|7456807|0.99|1|6|73
911|Hey Hey|hey hey|Big Bill Broonzy|196466|6543487|0.99|1|6|73
912|Tears In Heaven|tears in heaven|Eric Clapton, Will Jennings|274729|9032835|0.99|1|6|73
913|Lonely Stranger|lonely stranger|Eric Clapton|328724|10894406|0.99|1|6|73
914|Nobody Knows You When You're Down & Out|nobody knows you when you're down & out|Jimmy Cox|231836|7669922|0.99|1|6|73
915|Layla|layla|Eric Clapton, Jim Gordon|285387|9490542|0.99|1|6|73
916|Running On Faith|running on faith|Jerry Lynn Williams|378984|12536275|0.99|1|6|73
917|Walkin' Blues|walkin' blues|Robert Johnson|226429|7435192|0.99|1|6|73
918|Alberta|alberta|Traditional|222406|7412975|0.99|1|6|73
919|San Francisco Bay Blues|san francisco bay blues|Jesse Fuller|203363|6724021|0.99|1|6|73
920|Malted Milk|malted milk|Robert Johnson|216528|7096781|0.99|1|6|73
921|Old Love|old love|Eric Clapton, Robert Cray|472920|15780747|0.99|1|6|73
922|Rollin' And Tumblin'|rollin' and tumblin'|McKinley Morgenfield (Muddy Waters)|251768|8407355|0.99|1|6|73
923|Collision|collision|Jon Hudson/Mike Patton|204303|6656596|0.99|1|4|74
924|Stripsearch|stripsearch|Jon Hudson/Mike Bordin/Mike Patton|270106|8861119|0.99|1|4|74
925|Last Cup Of Sorrow|last cup of sorrow|Bill Gould/Mike Patton|251663|8221247|0.99|1|4|74
926|Naked In Front Of The Computer|naked in front of the computer|Mike Patton|128757|4225077|0.99|1|4|74
927|Helpless|helpless|Bill Gould/Mike Bordin/Mike Patton|326217|10753135|0.99|1|4|74
928|Mouth To Mouth|mouth to mouth|Bill Gould/Jon Hudson/Mike Bordin/Mike Patton|228493|7505887|0.99|1|4|74
929|Ashes To Ashes|ashes to ashes|Bill Gould/Jon Hudson/Mike Bordin/Mike Patton/Roddy Bottum|217391|7093746|0.99|1|4|74
930|She Loves Me Not|she loves me not|Bill Gould/Mike Bordin/Mike Patton|209867|6887544|0.99|1|4|74
931|Got That Feeling|got that feeling|Mike Patton|140852|4643227|0.99|1|4|74
932|Paths Of Glory|paths of glory|Bill Gould/Jon Hudson/Mike Bordin/Mike Patton/Roddy Bottum|257253|8436300|0.99|1|4|74
933|Home Sick Home|home sick home|Mike Patton|119040|3898976|0.99|1|4|74
934|Pristina|pristina|Bill Gould/Mike Patton|232698|7497361|0.99|1|4|74
935|Land Of Sunshine|land of sunshine||223921|7353567|0.99|1|4|75
936|Caffeine|caffeine||267937|8747367|0.99|1|4|75
937|Midlife Crisis|midlife crisis||263235|8628841|0.99|1|4|75
938|RV|rv||223242|7288162|0.99|1|4|75
939|Smaller And Smaller|smaller and smaller||310831|10180103|0.99|1|4|75
940|Everything's Ruined|everything's ruined||273658|9010917|0.99|1|4|75
941|Malpractice|malpractice||241371|7900683|0.99|1|4|75
942|Kindergarten|kindergarten||270680|8853647|0.99|1|4|75
943|Be Aggressive|be aggressive||222432|7298027|0.99|1|4|75
944|A Small Victory|a small victory||297168|9733572|0.99|1|4|75
945|Crack Hitler|crack hitler||279144|9162435|0.99|1|4|75
946|Jizzlobber|jizzlobber||398341|12926140|0.99|1|4|75
947|Midnight Cowboy|midnight cowboy||251924|8242626|0.99|1|4|75
948|Easy|easy||185835|6073008|0.99|1|4|75
949|Get Out|get out|Mike Bordin, Billy Gould, Mike Patton|137482|4524972|0.99|1|1|76
950|Ricochet|ricochet|Mike Bordin, Billy Gould, Mike Patton|269400|8808812|0.99|1|1|76
951|Evidence|evidence|Mike Bordin, Billy Gould, Mike Patton, Trey Spruance|293590|9626136|0.99|1|1|76
952|The Gentle Art Of Making Enemies|the gentle art of making enemies|Mike Bordin, Billy Gould, Mike Patton|209319|6908609|0.99|1|1|76
953|Star A.D.|star a.d.|Mike Bordin, Billy Gould, Mike Patton|203807|6747658|0.99|1|1|76
954|Cuckoo For Caca|cuckoo for caca|Mike Bordin, Billy Gould, Mike Patton, Trey Spruance|222902|7388369|0.99|1|1|76
955|Caralho Voador|caralho voador|Mike Bordin, Billy Gould, Mike Patton, Trey Spruance|242102|8029054|0.99|1|1|76
956|Ugly In The Morning|ugly in the morning|Mike Bordin, Billy Gould, Mike Patton|186435|6224997|0.99|1|1|76
957|Digging The Grave|digging the grave|Mike Bordin, Billy Gould, Mike Patton|185129|6109259|0.99|1|1|76
958|Take This Bottle|take this bottle|Mike Bordin, Billy Gould, Mike Patton, Trey Spruance|298997|9779971|0.99|1|1|76
959|King For A Day|king for a day|Mike Bordin, Billy Gould, Mike Patton, Trey Spruance|395859|13163733|0.99|1|1|76
960|What A Day|what a day|Mike Bordin, Billy Gould, Mike Patton|158275|5203430|0.99|1|1|76
961|The Last To Know|the last to know|Mike Bordin, Billy Gould, Mike Patton|267833|8736776|0.99|1|1|76
962|Just A Man|just a man|Mike Bordin, Billy Gould, Mike Patton|336666|11031254|0.99|1|1|76
963|Absolute Zero|absolute zero|Mike Bordin, Billy Gould, Mike Patton|181995|5929427|0.99|1|1|76
964|From Out Of Nowhere|from out of nowhere|Faith No More|202527|6587802|0.99|1|4|77
965|Epic|epic|Faith No More|294008|9631296|0.99|1|4|77
966|Falling To Pieces|falling to pieces|Faith No More|316055|10333123|0.99|1|4|77
967|Surprise! You're Dead!|surprise! you're dead!|Faith No More|147226|4823036|0.99|1|4|77
968|Zombie Eaters|zombie eaters|Faith No More|360881|11835367|0.99|1|4|77
969|The Real Thing|the real thing|Faith No More|493635|16233080|0.99|1|4|77
970|Underwater Love|underwater love|Faith No More|231993|7634387|0.99|1|4|77
971|The Morning After|the morning after|Faith No More|223764|7355898|0.99|1|4|77
972|Woodpecker From Mars|woodpecker from mars|Faith No More|340532|11174250|0.99|1|4|77
973|War Pigs|war pigs|Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne|464770|15267802|0.99|1|4|77
974|Edge Of The World|edge of the world|Faith No More|250357|8235607|0.99|1|4|77
975|Deixa Entrar|deixa entrar||33619|1095012|0.99|1|7|78
976|Falamansa Song|falamansa song||237165|7921313|0.99|1|7|78
977|Xote Dos Milagres|xote dos milagres||269557|8897778|0.99|1|7|78
978|Rindo À Toa|rindo À toa||222066|7365321|0.99|1|7|78
979|Confidência|confidência||222197|7460829|0.99|1|7|78
980|Forró De Tóquio|forró de tóquio||169273|5588756|0.99|1|7|78
981|Zeca Violeiro|zeca violeiro||143673|4781949|0.99|1|7|78
982|Avisa|avisa||355030|11844320|0.99|1|7|78
983|Principiando/Decolagem|principiando/decolagem||116767|3923789|0.99|1|7|78
984|Asas|asas||231915|7711669|0.99|1|7|78
985|Medo De Escuro|medo de escuro||213760|7056323|0.99|1|7|78
986|Oração|oração||271072|9003882|0.99|1|7|78
987|Minha Gata|minha gata||181838|6039502|0.99|1|7|78
988|Desaforo|desaforo||174524|5853561|0.99|1|7|78
989|In Your Honor|in your honor|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett|230191|7468463|0.99|1|1|79
990|No Way Back|no way back|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett|196675|6421400|0.99|1|1|79
991|Best Of You|best of you|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett|255712|8363467|0.99|1|1|79
992|DOA|doa|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett|252186|8232342|0.99|1|1|79
993|Hell|hell|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett|117080|3819255|0.99|1|1|79
994|The Last Song|the last song|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett|199523|6496742|0.99|1|1|79
995|Free Me|free me|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett|278700|9109340|0.99|1|1|79
996|Resolve|resolve|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett|288731|9416186|0.99|1|1|79
997|The Deepest Blues Are Black|the deepest blues are black|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett|238419|7735473|0.99|1|1|79
998|End Over End|end over end|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett|352078|11395296|0.99|1|1|79
999|Still|still|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS|313182|10323157|0.99|1|1|80
1000|What If I Do?|what if i do?|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS|302994|9929799|0.99|1|1|80
1001|Miracle|miracle|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS|209684|6877994|0.99|1|1|80
1002|Another Round|another round|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS|265848|8752670|0.99|1|1|80
1003|Friend Of A Friend|friend of a friend|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS|193280|6355088|0.99|1|1|80
1004|Over And Out|over and out|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS|316264|10428382|0.99|1|1|80
1005|On The Mend|on the mend|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS|271908|9071997|0.99|1|1|80
1006|Virginia Moon|virginia moon|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS|229198|7494639|0.99|1|1|80
1007|Cold Day In The Sun|cold day in the sun|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS|200724|6596617|0.99|1|1|80
1008|Razor|razor|Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett/FOO FIGHTERS|293276|9721373|0.99|1|1|80
1009|All My Life|all my life|Foo Fighters|263653|8665545|0.99|1|4|81
1010|Low|low|Foo Fighters|268120|8847196|0.99|1|4|81
1011|Have It All|have it all|Foo Fighters|298057|9729292|0.99|1|4|81
1012|Times Like These|times like these|Foo Fighters|266370|8624691|0.99|1|4|81
1013|Disenchanted Lullaby|disenchanted lullaby|Foo Fighters|273528|8919111|0.99|1|4|81
1014|Tired Of You|tired of you|Foo Fighters|311353|10094743|0.99|1|4|81
1015|Halo|halo|Foo Fighters|306442|10026371|0.99|1|4|81
1016|Lonely As You|lonely as you|Foo Fighters|277185|9022628|0.99|1|4|81
1017|Overdrive|overdrive|Foo Fighters|270550|8793187|0.99|1|4|81
1018|Burn Away|burn away|Foo Fighters|298396|9678073|0.99|1|4|81
1019|Come Back|come back|Foo Fighters|469968|15371980|0.99|1|4|81
1020|Doll|doll|Dave, Taylor, Nate, Chris|83487|2702572|0.99|1|1|82
1021|Monkey Wrench|monkey wrench|Dave, Taylor, Nate, Chris|231523|7527531|0.99|1|1|82
1022|Hey, Johnny Park!|hey, johnny park!|Dave, Taylor, Nate, Chris|248528|8079480|0.99|1|1|82
1023|My Poor Brain|my poor brain|Dave, Taylor, Nate, Chris|213446|6973746|0.99|1|1|82
1024|Wind Up|wind up|Dave, Taylor, Nate, Chris|152163|4950667|0.99|1|1|82
1025|Up In Arms|up in arms|Dave, Taylor, Nate, Chris|135732|4406227|0.99|1|1|82
1026|My Hero|my hero|Dave, Taylor, Nate, Chris|260101|8472365|0.99|1|1|82
1027|See You|see you|Dave, Taylor, Nate, Chris|146782|4888173|0.99|1|1|82
1028|Enough Space|enough space|Dave Grohl|157387|5169280|0.99|1|1|82
1029|February Stars|february stars|Dave, Taylor, Nate, Chris|289306|9344875|0.99|1|1|82
1030|Everlong|everlong|Dave Grohl|250749|8270816|0.99|1|1|82
1031|Walking After You|walking after you|Dave Grohl|303856|9898992|0.99|1|1|82
1032|New Way Home|new way home|Dave, Taylor, Nate, Chris|342230|11205664|0.99|1|1|82
1033|My Way|my way|claude françois/gilles thibault/jacques revaux/paul anka|275879|8928684|0.99|1|12|83
1034|Strangers In The Night|strangers in the night|berthold kaempfert/charles singleton/eddie snyder|155794|5055295|0.99|1|12|83
1035|New York, New York|new york, new york|fred ebb/john kander|206001|6707993|0.99|1|12|83
1036|I Get A Kick Out Of You|i get a kick out of you|cole porter|194429|6332441|0.99|1|12|83
1037|Something Stupid|something stupid|carson c. parks|158615|5210643|0.99|1|12|83
1038|Moon River|moon river|henry mancini/johnny mercer|198922|6395808|0.99|1|12|83
1039|What Now My Love|what now my love|carl sigman/gilbert becaud/pierre leroyer|149995|4913383|0.99|1|12|83
1040|Summer Love|summer love|hans bradtke/heinz meier/johnny mercer|174994|5693242|0.99|1|12|83
1041|For Once In My Life|for once in my life|orlando murden/ronald miller|171154|5557537|0.99|1|12|83
1042|Love And Marriage|love and marriage|jimmy van heusen/sammy cahn|89730|2930596|0.99|1|12|83
1043|They Can't Take That Away From Me|they can't take that away from me|george gershwin/ira gershwin|161227|5240043|0.99|1|12|83
1044|My Kind Of Town|my kind of town|jimmy van heusen/sammy cahn|188499|6119915|0.99|1|12|83
1045|Fly Me To The Moon|fly me to the moon|bart howard|149263|4856954|0.99|1|12|83
1046|I've Got You Under My Skin|i've got you under my skin|cole porter|210808|6883787|0.99|1|12|83
1047|The Best Is Yet To Come|the best is yet to come|carolyn leigh/cy coleman|173583|5633730|0.99|1|12|83
1048|It Was A Very Good Year|it was a very good year|ervin drake|266605|8554066|0.99|1|12|83
1049|Come Fly With Me|come fly with me|jimmy van heusen/sammy cahn|190458|6231029|0.99|1|12|83
1050|That's Life|that's life|dean kay thompson/kelly gordon|187010|6095727|0.99|1|12|83
1051|The Girl From Ipanema|the girl from ipanema|antonio carlos jobim/norman gimbel/vinicius de moraes|193750|6410674|0.99|1|12|83
1052|The Lady Is A Tramp|the lady is a tramp|lorenz hart/richard rodgers|184111|5987372|0.99|1|12|83
1053|Bad, Bad Leroy Brown|bad, bad leroy brown|jim croce|169900|5548581|0.99|1|12|83
1054|Mack The Knife|mack the knife|bert brecht/kurt weill/marc blitzstein|292075|9541052|0.99|1|12|83
1055|Loves Been Good To Me|loves been good to me|rod mckuen|203964|6645365|0.99|1|12|83
1056|L.A. Is My Lady|l.a. is my lady|alan bergman/marilyn bergman/peggy lipton jones/quincy jones|193175|6378511|0.99|1|12|83
1057|Entrando Na Sua (Intro)|entrando na sua (intro)||179252|5840027|0.99|1|7|84
1058|Nervosa|nervosa||229537|7680421|0.99|1|7|84
1059|Funk De Bamba (Com Fernanda Abreu)|funk de bamba (com fernanda abreu)||237191|7866165|0.99|1|7|84
1060|Call Me At Cleo´s|call me at cleo´s||236617|7920510|0.99|1|7|84
1061|Olhos Coloridos (Com Sandra De Sá)|olhos coloridos (com sandra de sá)||321332|10567404|0.99|1|7|84
1062|Zambação|zambação||301113|10030604|0.99|1|7|84
1063|Funk Hum|funk hum||244453|8084475|0.99|1|7|84
1064|Forty Days (Com DJ Hum)|forty days (com dj hum)||221727|7347172|0.99|1|7|84
1065|Balada Da Paula|balada da paula|Emerson Villani|322821|10603717|0.99|1|7|84
1066|Dujji|dujji||324597|10833935|0.99|1|7|84
1067|Meu Guarda-Chuva|meu guarda-chuva||248528|8216625|0.99|1|7|84
1068|Motéis|motéis||213498|7041077|0.99|1|7|84
1069|Whistle Stop|whistle stop||526132|17533664|0.99|1|7|84
1070|16 Toneladas|16 toneladas||191634|6390885|0.99|1|7|84
1071|Divirta-Se (Saindo Da Sua)|divirta-se (saindo da sua)||74919|2439206|0.99|1|7|84
1072|Forty Days Instrumental|forty days instrumental||292493|9584317|0.99|1|7|84
1073|Óia Eu Aqui De Novo|Óia eu aqui de novo||219454|7469735|0.99|1|10|85
1074|Baião Da Penha|baião da penha||247928|8393047|0.99|1|10|85
1075|Esperando Na Janela|esperando na janela|Manuca/Raimundinho DoAcordion/Targino Godim|261041|8660617|0.99|1|10|85
1076|Juazeiro|juazeiro|Humberto Teixeira/Luiz Gonzaga|222275|7349779|0.99|1|10|85
1077|Último Pau-De-Arara|Último pau-de-arara|Corumbá/José Gumarães/Venancio|200437|6638563|0.99|1|10|85
1078|Asa Branca|asa branca|Humberto Teixeira/Luiz Gonzaga|217051|7387183|0.99|1|10|85
1079|Qui Nem Jiló|qui nem jiló|Humberto Teixeira/Luiz Gonzaga|204695|6937472|0.99|1|10|85
1080|Assum Preto|assum preto|Humberto Teixeira/Luiz Gonzaga|199653|6625000|0.99|1|10|85
1081|Pau-De-Arara|pau-de-arara|"Guio De Morais E Seus ""Parentes""/Luiz Gonzaga"|191660|6340649|0.99|1|10|85
1082|A Volta Da Asa Branca|a volta da asa branca|Luiz Gonzaga/Zé Dantas|271020|9098093|0.99|1|10|85
1083|O Amor Daqui De Casa|o amor daqui de casa|Gilberto Gil|148636|4888292|0.99|1|10|85
1084|As Pegadas Do Amor|as pegadas do amor|Gilberto Gil|209136|6899062|0.99|1|10|85
1085|Lamento Sertanejo|lamento sertanejo|Dominguinhos/Gilberto Gil|260963|8518290|0.99|1|10|85
1086|Casinha Feliz|casinha feliz|Gilberto Gil|32287|1039615|0.99|1|10|85
1087|Introdução (Live)|introdução (live)||154096|5227579|0.99|1|7|86
1088|Palco (Live)|palco (live)||238315|8026622|0.99|1|7|86
1089|Is This Love (Live)|is this love (live)||295262|9819759|0.99|1|7|86
1090|Stir It Up (Live)|stir it up (live)||282409|9594738|0.99|1|7|86
1091|Refavela (Live)|refavela (live)||236695|7985305|0.99|1|7|86
1092|Vendedor De Caranguejo (Live)|vendedor de caranguejo (live)||248842|8358128|0.99|1|7|86
1093|Quanta (Live)|quanta (live)||357485|11774865|0.99|1|7|86
1094|Estrela (Live)|estrela (live)||285309|9436411|0.99|1|7|86
1095|Pela Internet (Live)|pela internet (live)||263471|8804401|0.99|1|7|86
1096|Cérebro Eletrônico (Live)|cérebro eletrônico (live)||231627|7805352|0.99|1|7|86
1097|Opachorô (Live)|opachorô (live)||259526|8596384|0.99|1|7|86
1098|Copacabana (Live)|copacabana (live)||289671|9673672|0.99|1|7|86
1099|A Novidade (Live)|a novidade (live)||316969|10508000|0.99|1|7|86
1100|Ghandi (Live)|ghandi (live)||222458|7481950|0.99|1|7|86
1101|De Ouro E Marfim (Live)|de ouro e marfim (live)||234971|7838453|0.99|1|7|86
1102|Doce De Carnaval (Candy All)|doce de carnaval (candy all)||356101|11998470|0.99|1|2|87
1103|Lamento De Carnaval|lamento de carnaval||294530|9819276|0.99|1|2|87
1104|Pretinha|pretinha||265273|8914579|0.99|1|2|87
1105|A Novidade|a novidade|Gilberto Gil|324780|10765600|0.99|1|7|73
1106|Tenho Sede|tenho sede|Gilberto Gil|261616|8708114|0.99|1|7|73
1107|Refazenda|refazenda|Gilberto Gil|218305|7237784|0.99|1|7|73
1108|Realce|realce|Gilberto Gil|264489|8847612|0.99|1|7|73
1109|Esotérico|esotérico|Gilberto Gil|317779|10530533|0.99|1|7|73
1110|Drão|drão|Gilberto Gil|301453|9931950|0.99|1|7|73
1111|A Paz|a paz|Gilberto Gil|293093|9593064|0.99|1|7|73
1112|Beira Mar|beira mar|Gilberto Gil|295444|9597994|0.99|1|7|73
1113|Sampa|sampa|Gilberto Gil|225697|7469905|0.99|1|7|73
1114|Parabolicamará|parabolicamará|Gilberto Gil|284943|9543435|0.99|1|7|73
1115|Tempo Rei|tempo rei|Gilberto Gil|302733|10019269|0.99|1|7|73
1116|Expresso 2222|expresso 2222|Gilberto Gil|284760|9690577|0.99|1|7|73
1117|Aquele Abraço|aquele abraço|Gilberto Gil|263993|8805003|0.99|1|7|73
1118|Palco|palco|Gilberto Gil|270550|9049901|0.99|1|7|73
1119|Toda Menina Baiana|toda menina baiana|Gilberto Gil|278177|9351000|0.99|1|7|73
1120|Sítio Do Pica-Pau Amarelo|sítio do pica-pau amarelo|Gilberto Gil|218070|7217955|0.99|1|7|73
1121|Straight Out Of Line|straight out of line|Sully Erna|259213|8511877|0.99|1|3|88
1122|Faceless|faceless|Sully Erna|216006|6992417|0.99|1|3|88
1123|Changes|changes|Sully Erna; Tony Rombola|260022|8455835|0.99|1|3|88
1124|Make Me Believe|make me believe|Sully Erna|248607|8075050|0.99|1|3|88
1125|I Stand Alone|i stand alone|Sully Erna|246125|8017041|0.99|1|3|88
1126|Re-Align|re-align|Sully Erna|260884|8513891|0.99|1|3|88
1127|I Fucking Hate You|i fucking hate you|Sully Erna|247170|8059642|0.99|1|3|88
1128|Releasing The Demons|releasing the demons|Sully Erna|252760|8276372|0.99|1|3|88
1129|Dead And Broken|dead and broken|Sully Erna|251454|8206611|0.99|1|3|88
1130|I Am|i am|Sully Erna|239516|7803270|0.99|1|3|88
1131|The Awakening|the awakening|Sully Erna|89547|3035251|0.99|1|3|88
1132|Serenity|serenity|Sully Erna; Tony Rombola|274834|9172976|0.99|1|3|88
1133|American Idiot|american idiot|Billie Joe Armstrong, Mike Dirnt, Tré Cool|174419|5705793|0.99|1|4|89
1134|Jesus Of Suburbia / city Of The Damned / I Don't Care / Dearly Beloved / Tales Of Another Broken Home|jesus of suburbia / city of the damned / i don't care / dearly beloved / tales of another broken home|Billie Joe Armstrong/Green Day|548336|17875209|0.99|1|4|89
1135|Holiday|holiday|Billie Joe Armstrong, Mike Dirnt, Tré Cool|232724|7599602|0.99|1|4|89
1136|Boulevard Of Broken Dreams|boulevard of broken dreams|Mike Dint, Billie Joe, Tré Cool|260858|8485122|0.99|1|4|89
1137|Are We The Waiting|are we the waiting|Green Day|163004|5328329|0.99|1|4|89
1138|St. Jimmy|st. jimmy|Green Day|175307|5716589|0.99|1|4|89
1139|Give Me Novacaine|give me novacaine|Green Day|205871|6752485|0.99|1|4|89
1140|She's A Rebel|she's a rebel|Green Day|120528|3901226|0.99|1|4|89
1141|Extraordinary Girl|extraordinary girl|Green Day|214021|6975177|0.99|1|4|89
1142|Letterbomb|letterbomb|Green Day|246151|7980902|0.99|1|4|89
1143|Wake Me Up When September Ends|wake me up when september ends|Mike Dint, Billie Joe, Tré Cool|285753|9325597|0.99|1|4|89
1144|Homecoming / The Death Of St. Jimmy / East 12th St. / Nobody Likes You / Rock And Roll Girlfriend / We're Coming Home Again|homecoming / the death of st. jimmy / east 12th st. / nobody likes you / rock and roll girlfriend / we're coming home again|Mike Dirnt/Tré Cool|558602|18139840|0.99|1|4|89
1145|Whatsername|whatsername|Green Day|252316|8244843|0.99|1|4|89
1146|Welcome to the Jungle|welcome to the jungle||273552|4538451|0.99|2|1|90
1147|It's So Easy|it's so easy||202824|3394019|0.99|2|1|90
1148|Nightrain|nightrain||268537|4457283|0.99|2|1|90
1149|Out Ta Get Me|out ta get me||263893|4382147|0.99|2|1|90
1150|Mr. Brownstone|mr. brownstone||228924|3816323|0.99|2|1|90
1151|Paradise city|paradise city||406347|6687123|0.99|2|1|90
1152|My Michelle|my michelle||219961|3671299|0.99|2|1|90
1153|Think About You|think about you||231640|3860275|0.99|2|1|90
1154|Sweet Child O' Mine|sweet child o' mine||356424|5879347|0.99|2|1|90
1155|You're Crazy|you're crazy||197135|3301971|0.99|2|1|90
1156|Anything Goes|anything goes||206400|3451891|0.99|2|1|90
1157|Rocket Queen|rocket queen||375349|6185539|0.99|2|1|90
1158|Right Next Door to Hell|right next door to hell||182321|3175950|0.99|2|1|91
1159|Dust N' Bones|dust n' bones||298374|5053742|0.99|2|1|91
1160|Live and Let Die|live and let die||184016|3203390|0.99|2|1|91
1161|Don't Cry (Original)|don't cry (original)||284744|4833259|0.99|2|1|91
1162|Perfect Crime|perfect crime||143637|2550030|0.99|2|1|91
1163|You Ain't the First|you ain't the first||156268|2754414|0.99|2|1|91
1164|Bad Obsession|bad obsession||328282|5537678|0.99|2|1|91
1165|Back off Bitch|back off bitch||303436|5135662|0.99|2|1|91
1166|Double Talkin' Jive|double talkin' jive||203637|3520862|0.99|2|1|91
1167|November Rain|november rain||537540|8923566|0.99|2|1|91
1168|The Garden|the garden||322175|5438862|0.99|2|1|91
1169|Garden of Eden|garden of eden||161539|2839694|0.99|2|1|91
1170|Don't Damn Me|don't damn me||318901|5385886|0.99|2|1|91
1171|Bad Apples|bad apples||268351|4567966|0.99|2|1|91
1172|Dead Horse|dead horse||257600|4394014|0.99|2|1|91
1173|Coma|coma||616511|10201342|0.99|2|1|91
1174|Civil War|civil war|Duff McKagan/Slash/W. Axl Rose|461165|15046579|0.99|1|3|92
1175|14 Years|14 years|Izzy Stradlin'/W. Axl Rose|261355|8543664|0.99|1|3|92
1176|Yesterdays|yesterdays|Billy/Del James/W. Axl Rose/West Arkeen|196205|6398489|0.99|1|3|92
1177|Knockin' On Heaven's Door|knockin' on heaven's door|Bob Dylan|336457|10986716|0.99|1|3|92
1178|Get In The Ring|get in the ring|Duff McKagan/Slash/W. Axl Rose|341054|11134105|0.99|1|3|92
1179|Shotgun Blues|shotgun blues|W. Axl Rose|203206|6623916|0.99|1|3|92
1180|Breakdown|breakdown|W. Axl Rose|424960|13978284|0.99|1|3|92
1181|Pretty Tied Up|pretty tied up|Izzy Stradlin'|287477|9408754|0.99|1|3|92
1182|Locomotive|locomotive|Slash/W. Axl Rose|522396|17236842|0.99|1|3|92
1183|So Fine|so fine|Duff McKagan|246491|8039484|0.99|1|3|92
1184|Estranged|estranged|W. Axl Rose|563800|18343787|0.99|1|3|92
1185|You Could Be Mine|you could be mine|Izzy Stradlin'/W. Axl Rose|343875|11207355|0.99|1|3|92
1186|Don't Cry|don't cry|Izzy Stradlin'/W. Axl Rose|284238|9222458|0.99|1|3|92
1187|My World|my world|W. Axl Rose|84532|2764045|0.99|1|3|92
1188|Colibri|colibri|Richard Bull|361012|12055329|0.99|1|2|93
1189|Love Is The Colour|love is the colour|R. Carless|251585|8419165|0.99|1|2|93
1190|Magnetic Ocean|magnetic ocean|Patrick Claher/Richard Bull|321123|10720741|0.99|1|2|93
1191|Deep Waters|deep waters|Richard Bull|396460|13075359|0.99|1|2|93
1192|L'Arc En Ciel De Miles|l'arc en ciel de miles|Kevin Robinson/Richard Bull|242390|8053997|0.99|1|2|93
1193|Gypsy|gypsy|Kevin Robinson|330997|11083374|0.99|1|2|93
1194|Journey Into Sunlight|journey into sunlight|Jean Paul Maunick|249756|8241177|0.99|1|2|93
1195|Sunchild|sunchild|Graham Harvey|259970|8593143|0.99|1|2|93
1196|Millenium|millenium|Maxton Gig Beesley Jnr.|379167|12511939|0.99|1|2|93
1197|Thinking 'Bout Tomorrow|thinking 'bout tomorrow|Fayyaz Virgi/Richard Bull|355395|11865384|0.99|1|2|93
1198|Jacob's Ladder|jacob's ladder|Julian Crampton|367647|12201595|0.99|1|2|93
1199|She Wears Black|she wears black|G Harvey/R Hope-Taylor|528666|17617944|0.99|1|2|93
1200|Dark Side Of The Cog|dark side of the cog|Jean Paul Maunick|377155|12491122|0.99|1|2|93
1201|Different World|different world||258692|4383764|0.99|2|1|94
1202|These Colours Don't Run|these colours don't run||412152|6883500|0.99|2|1|94
1203|Brighter Than a Thousand Suns|brighter than a thousand suns||526255|8721490|0.99|2|1|94
1204|The Pilgrim|the pilgrim||307593|5172144|0.99|2|1|94
1205|The Longest Day|the longest day||467810|7785748|0.99|2|1|94
1206|Out of the Shadows|out of the shadows||336896|5647303|0.99|2|1|94
